"","train_cindex","test_cindex","Model"
"107",0.74061021045212,0.659377262853005,"Enet(alpha=0.7)+StepCox(both)"
"108",0.74061021045212,0.659377262853005,"Enet(alpha=0.7)+StepCox(backward)"
"109",0.747222501929984,0.674728457639392,"Enet(alpha=0.7)+StepCox(forward)"
"110",0.739636827442688,0.674293989862419,"Enet(alpha=0.7)"
"111",0.744604437283926,0.674293989862419,"Enet(alpha=0.7)+CoxBoost"
"112",0.939784513140671,0.666473569876901,"Enet(alpha=0.7)+RSF"
"113",0.746215553989192,0.676176683562636,"Enet(alpha=0.7)+plsRcox"
"114",0.544624576242742,0.57204923968139,"Enet(alpha=0.7)+Survivalsvm"
"115",0.880609539153492,0.661694424330196,"Enet(alpha=0.7)+GBM"
"116",0.598328466418286,0.567704561911658,"Enet(alpha=0.7)+superpc"
"117",0.738864834021414,0.610427226647357,"Enet(alpha=0.8)+StepCox(both)"
"118",0.738864834021414,0.610427226647357,"Enet(alpha=0.8)+StepCox(backward)"
"119",0.746819722753667,0.655322230267922,"Enet(alpha=0.8)+StepCox(forward)"
"120",0.741382203873393,0.675162925416365,"Enet(alpha=0.8)"
"121",0.74406739838217,0.672556118754526,"Enet(alpha=0.8)+CoxBoost"
"122",0.93985164300339,0.667342505430847,"Enet(alpha=0.8)+RSF"
"123",0.746886852616386,0.655322230267922,"Enet(alpha=0.8)+plsRcox"
"124",0.537878025039439,0.567849384503983,"Enet(alpha=0.8)+Survivalsvm"
"125",0.879334071761823,0.661404779145547,"Enet(alpha=0.8)+GBM"
"126",0.598328466418286,0.567704561911658,"Enet(alpha=0.8)+superpc"
"127",0.74061021045212,0.659377262853005,"Enet(alpha=0.9)+StepCox(both)"
"128",0.74061021045212,0.659377262853005,"Enet(alpha=0.9)+StepCox(backward)"
"129",0.743899573725372,0.668935553946416,"Enet(alpha=0.9)+StepCox(forward)"
"130",0.739938911824925,0.674149167270094,"Enet(alpha=0.9)"
"131",0.744671567146645,0.674728457639392,"Enet(alpha=0.9)+CoxBoost"
"132",0.938206961366764,0.668935553946416,"Enet(alpha=0.9)+RSF"
"133",0.743731749068573,0.66777697320782,"Enet(alpha=0.9)+plsRcox"
"134",0.554929010170174,0.582766111513396,"Enet(alpha=0.9)+Survivalsvm"
"135",0.880206759977176,0.664590876176684,"Enet(alpha=0.9)+GBM"
